,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,99_x,99_y
12,687.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,612.5,112.5,562.5,112.5,537.5,112.5,587.5,112.5,487.5,112.5,462.5,112.5,462.5,187.5,487.5,187.5,437.5,112.5,437.5,137.5,437.5,162.5,437.5,187.5,600.0,162.5
13,687.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,662.5,112.5,612.5,112.5,587.5,112.5,637.5,112.5,562.5,112.5,512.5,112.5,487.5,112.5,537.5,112.5,437.5,112.5,437.5,137.5,437.5,162.5,437.5,187.5,600.0,162.5
14,787.5,112.5,762.5,137.5,737.5,162.5,712.5,187.5,762.5,112.5,712.5,112.5,687.5,112.5,737.5,112.5,662.5,112.5,612.5,112.5,587.5,112.5,637.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600.0,162.5
15,787.5,137.5,762.5,137.5,737.5,162.5,712.5,187.5,787.5,112.5,737.5,112.5,712.5,112.5,762.5,112.5,687.5,112.5,637.5,112.5,612.5,112.5,662.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600.0,162.5
16,787.5,162.5,762.5,162.5,737.5,162.5,712.5,187.5,787.5,137.5,762.5,112.5,737.5,112.5,787.5,112.5,712.5,112.5,662.5,112.5,637.5,112.5,687.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600.0,162.5
17,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,787.5,162.5,787.5,112.5,762.5,112.5,787.5,137.5,737.5,112.5,687.5,112.5,662.5,112.5,712.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600.0,162.5
18,787.5,212.5,762.5,212.5,737.5,212.5,712.5,212.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,687.5,112.5,737.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600.0,162.5
19,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,212.5,737.5,112.5,537.5,112.5,537.5,137.5,537.5,162.5,537.5,187.5,600.0,162.5
20,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,662.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,737.5,162.5
21,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,662.5,112.5,687.5,137.5,687.5,162.5,687.5,187.5,737.5,300.0
22,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,687.5,137.5,712.5,137.5,712.5,162.5,712.5,187.5,0.0,0.0
23,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,737.5,137.5,762.5,137.5,737.5,162.5,712.5,187.5,0.0,0.0
24,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,762.5,137.5,762.5,162.5,737.5,162.5,712.5,187.5,0.0,0.0
25,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,187.5,787.5,137.5,787.5,112.5,787.5,162.5,762.5,112.5,712.5,112.5,712.5,462.5,737.5,112.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
26,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,212.5,787.5,162.5,787.5,137.5,787.5,187.5,787.5,112.5,737.5,112.5,712.5,462.5,762.5,112.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
27,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,237.5,787.5,187.5,787.5,162.5,787.5,212.5,787.5,137.5,762.5,112.5,712.5,462.5,787.5,112.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
28,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,262.5,787.5,212.5,787.5,187.5,787.5,237.5,787.5,162.5,787.5,112.5,712.5,462.5,787.5,137.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
29,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,287.5,787.5,237.5,787.5,212.5,787.5,262.5,787.5,187.5,787.5,137.5,712.5,462.5,787.5,162.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
30,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,312.5,787.5,262.5,787.5,237.5,787.5,287.5,787.5,212.5,787.5,162.5,712.5,462.5,787.5,187.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
31,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,337.5,787.5,287.5,787.5,262.5,787.5,312.5,787.5,237.5,787.5,187.5,712.5,462.5,787.5,212.5,762.5,162.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
32,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,787.5,362.5,787.5,312.5,787.5,287.5,787.5,337.5,787.5,262.5,787.5,212.5,712.5,462.5,787.5,237.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
33,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,787.5,337.5,787.5,312.5,787.5,362.5,787.5,287.5,787.5,237.5,712.5,462.5,787.5,262.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
34,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,787.5,362.5,787.5,337.5,712.5,412.5,787.5,312.5,787.5,262.5,712.5,462.5,787.5,287.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
35,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,787.5,362.5,712.5,412.5,787.5,337.5,787.5,287.5,712.5,462.5,787.5,312.5,787.5,187.5,762.5,187.5,737.5,187.5,712.5,187.5,0.0,0.0
36,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,712.5,362.5,712.5,412.5,787.5,362.5,787.5,312.5,712.5,462.5,787.5,337.5,787.5,237.5,762.5,237.5,737.5,237.5,712.5,237.5,0.0,0.0
37,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,712.5,362.5,712.5,412.5,737.5,362.5,787.5,337.5,712.5,462.5,787.5,362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,787.5,487.5,762.5,487.5,737.5,487.5,712.5,487.5,712.5,437.5,712.5,387.5,712.5,362.5,712.5,412.5,737.5,362.5,787.5,362.5,712.5,462.5,762.5,362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,787.5,512.5,762.5,512.5,737.5,512.5,712.5,512.5,712.5,462.5,712.5,412.5,712.5,387.5,712.5,437.5,712.5,362.5,762.5,362.5,712.5,487.5,737.5,362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
